                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.3045,                 1.5421,                 1.1304,                0.46651,                0.33097,                0.32998,                0.22153,                 1.3431,                 2.4638,                 1.1602,             0.00057018,             0.00057018,             0.00057018
                     13,                 1.2939,                  1.576,                 1.1263,                0.49023,                0.31551,                0.33894,                0.23137,                 1.4291,                 2.4513,                  1.181,             0.00059767,             0.00059767,             0.00059767
                     14,                 1.2495,                  1.503,                  1.133,                0.52681,                0.32455,                0.36849,                0.24026,                 1.4403,                 2.4478,                 1.1705,             0.00062185,             0.00062185,             0.00062185
                     15,                 1.2478,                 1.4531,                 1.0805,                0.69471,                 0.3602,                0.43905,                0.28245,                  1.407,                 2.3729,                 1.1455,             0.00064274,             0.00064274,             0.00064274
                     16,                 1.1958,                 1.4437,                 1.0643,                 0.6861,                 0.3145,                0.46757,                 0.3141,                 1.3547,                 2.2936,                  1.139,             0.00066032,             0.00066032,             0.00066032
                     17,                 1.2873,                  1.505,                 1.1219,                0.69348,                0.31337,                0.51088,                0.31296,                 1.3868,                 2.2826,                  1.167,              0.0006746,              0.0006746,              0.0006746
                     18,                 1.2272,                 1.3653,                 1.0984,                0.65842,                0.30642,                0.43837,                 0.2607,                 1.4531,                 2.3255,                 1.1699,             0.00068558,             0.00068558,             0.00068558
                     19,                 1.2799,                 1.3885,                 1.0817,                0.77677,                0.25882,                0.40074,                0.24884,                  1.509,                 2.3272,                 1.2142,             0.00069326,             0.00069326,             0.00069326
                     20,                 1.1746,                 1.3009,                 1.0627,                 0.5225,                0.35901,                0.44277,                0.28166,                 1.4358,                 2.2594,                 1.1892,             0.00069764,             0.00069764,             0.00069764
                     21,                 1.1897,                 1.2947,                 1.0843,                0.55102,                0.42022,                 0.5111,                0.31051,                  1.431,                 2.0953,                 1.1658,             0.00069872,             0.00069872,             0.00069872
                     22,                 1.2444,                 1.3109,                 1.1433,                0.67937,                0.41194,                 0.5258,                0.34397,                 1.3703,                  2.089,                 1.1441,              0.0006965,              0.0006965,              0.0006965
                     23,                 1.2205,                 1.2642,                 1.0743,                 0.8008,                0.40856,                0.53344,                0.33421,                 1.4067,                 2.0173,                 1.1481,             0.00069098,             0.00069098,             0.00069098
                     24,                 1.2192,                 1.3007,                 1.1083,                 0.8211,                0.43977,                0.57353,                0.37745,                 1.3182,                 1.8778,                 1.1168,             0.00068216,             0.00068216,             0.00068216
                     25,                 1.1916,                 1.2656,                 1.0851,                0.82701,                0.43972,                0.58281,                 0.4003,                 1.3102,                 1.8526,                 1.1475,             0.00067003,             0.00067003,             0.00067003
                     26,                 1.0814,                 1.2087,                 1.0618,                 0.6658,                0.42707,                0.53589,                0.35879,                 1.3607,                 1.8688,                 1.1742,             0.00063554,             0.00063554,             0.00063554
                     27,                 1.1263,                 1.1842,                 1.0664,                0.63317,                0.46502,                0.49911,                0.31978,                 1.3405,                 1.9131,                 1.1564,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.0681,                  1.159,                  1.052,                0.54504,                 0.5123,                0.45214,                0.27641,                 1.3657,                 2.0761,                 1.1805,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.2043,                  1.172,                 1.1004,                0.54384,                0.54947,                0.42964,                0.26465,                 1.3874,                 2.2669,                 1.1967,             0.00055303,             0.00055303,             0.00055303
                     30,                 1.1715,                 1.1357,                 1.0713,                0.54285,                0.54262,                0.42783,                0.25977,                 1.4157,                    2.3,                 1.2137,             0.00051177,             0.00051177,             0.00051177
                     31,                 1.0154,                 1.4467,                0.98194,                0.55649,                0.51195,                0.40495,                0.23762,                 1.4816,                 2.4193,                 1.2468,             0.00047051,             0.00047051,             0.00047051
                     32,                 1.0375,                 1.2485,                 1.0356,                0.58362,                0.51021,                0.38441,                0.22314,                 1.4663,                 2.4405,                 1.2491,             0.00042925,             0.00042925,             0.00042925
                     33,                 1.0664,                 1.2309,                 1.0366,                0.55097,                0.52139,                0.39137,                0.23729,                 1.3983,                 2.3645,                 1.2099,             0.00038799,             0.00038799,             0.00038799
                     34,                0.99847,                 1.2874,                0.96692,                0.56864,                0.56898,                0.47036,                0.29661,                 1.3738,                 2.1206,                 1.1757,             0.00034674,             0.00034674,             0.00034674
                     35,                0.98274,                 1.1516,                 1.0088,                0.54248,                 0.6012,                0.53308,                0.34265,                 1.3765,                 2.0012,                  1.167,             0.00030548,             0.00030548,             0.00030548
                     36,                 1.0015,                 1.1491,                0.99582,                 0.5522,                0.58503,                0.56911,                0.36174,                 1.3689,                 1.8842,                 1.1601,             0.00026422,             0.00026422,             0.00026422
                     37,                 0.9352,                 1.0583,                0.97549,                0.56636,                 0.6104,                 0.5833,                0.38141,                 1.3484,                 1.8036,                 1.1392,             0.00022296,             0.00022296,             0.00022296
                     38,                 0.9846,                 1.1061,                0.96834,                0.57307,                0.61646,                0.59027,                0.39967,                 1.3372,                 1.7791,                 1.1301,              0.0001817,              0.0001817,              0.0001817
                     39,                0.93713,                 1.0865,                0.97375,                0.57398,                0.61878,                0.60697,                0.40687,                 1.3396,                 1.7731,                  1.137,             0.00014044,             0.00014044,             0.00014044
                     40,                 1.0237,                 1.1176,                0.98168,                0.58517,                0.61513,                0.60695,                0.40751,                   1.34,                 1.7578,                 1.1432,             9.9187e-05,             9.9187e-05,             9.9187e-05
